City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,egilsstadir,65.2653,-14.3948,12.950000000000045,76,75,6.17,IS,1694943002
163,saynshand,44.8824,110.1163,20.180000000000007,28,72,5.47,MN,1694943003
164,college,64.8569,-147.8028,9.990000000000009,73,100,3.09,US,1694943004
165,ginir,7.1333,40.7,26.200000000000045,35,80,3.94,ET,1694943004
166,chibougamau,49.9168,-74.3659,9.79000000000002,100,75,1.54,CA,1694943005
167,ghanzi,-21.5667,21.7833,27.960000000000036,9,0,5.12,BW,1694943006
168,kalmunai,7.4167,81.8167,30.08000000000004,65,96,8.04,LK,1694943007
169,afaahiti,-17.75,-149.2833,23.930000000000007,88,55,6.65,PF,1694943007
170,borogontsy,62.6683,131.1683,1.9700000000000273,72,56,1.44,RU,1694943008
171,tralee,52.2704,-9.7026,13.140000000000043,100,100,1.03,IE,1694943009
172,belyy yar,53.6039,91.3903,21.939999999999998,40,0,4.0,RU,1694943009
173,cockburn town,21.4612,-71.1419,28.640000000000043,73,88,4.7,TC,1694943010
174,new plymouth,-39.0667,174.0833,12.400000000000034,90,52,9.35,NZ,1694943010
175,utrik,11.2278,169.8474,28.870000000000005,81,100,8.0,MH,1694943011
176,kalianget,-7.05,113.9333,27.470000000000027,73,28,6.87,ID,1694943012
177,aden,12.7794,45.0367,31.640000000000043,82,25,4.72,YE,1694943012
178,timbuktu,16.7735,-3.0074,35.52000000000004,30,97,4.44,ML,1694943013
179,sant lluis,39.8526,4.2594,29.220000000000027,70,20,3.6,ES,1694943013
180,bamboo flat,11.7,92.7167,28.05000000000001,89,100,4.63,IN,1694943014
181,bad neustadt an der saale,50.3333,10.2167,24.660000000000025,65,38,2.5,DE,1694943014
182,lata,40.1629,-8.3327,18.29000000000002,72,75,6.73,PT,1694943015
183,remire-montjoly,4.9167,-52.2667,23.02000000000004,100,0,0.0,GF,1694943016
184,marsa alam,25.0757,34.8918,32.400000000000034,50,4,7.03,EG,1694943016
185,st. john's,47.5649,-52.7093,20.99000000000001,97,100,8.23,CA,1694942964
186,omurtag,43.1,26.4167,21.610000000000014,47,9,3.67,BG,1694943017
187,tarauaca,-8.1614,-70.7656,21.680000000000007,90,50,0.86,BR,1694943018
188,illizi,26.4833,8.4667,33.89000000000004,8,0,6.44,DZ,1694943018
189,amuntai,-2.4177,115.2494,26.650000000000034,80,100,0.2,ID,1694943019
190,tofol,5.3248,163.0078,29.02000000000004,69,100,1.84,FM,1694943019
191,navarre,30.4016,-86.8636,26.129999999999995,86,75,1.54,US,1694943020
192,praia,14.9215,-23.5087,26.30000000000001,73,20,5.14,CV,1694943020
193,rio preto da eva,-2.6994,-59.6997,22.860000000000014,77,42,1.35,BR,1694943021
194,constantia,44.1833,28.65,24.379999999999995,54,49,7.29,RO,1694943021
195,ngereklmadel,7.4883,134.4856,28.05000000000001,83,75,0.0,PW,1694943022
196,al ghayzah,16.2079,52.176,33.33000000000004,61,73,6.67,YE,1694943022
197,prince rupert,54.3161,-130.3201,14.050000000000011,83,100,16.46,CA,1694943023
198,velez,6.0134,-73.6735,10.200000000000045,87,95,1.9,CO,1694943023
199,wustermark,52.55,12.95,26.25,63,99,0.96,DE,1694943024
200,nova sintra,14.8667,-24.7167,22.660000000000025,74,39,6.5,CV,1694943024
201,arraial do cabo,-22.9661,-42.0278,21.920000000000016,88,20,7.2,BR,1694942937
202,vallenar,-28.5708,-70.7581,11.800000000000011,86,34,0.29,CL,1694943025
203,nahiyat ash shinafiyah,31.5874,44.6602,40.72000000000003,10,0,2.5,IQ,1694943026
204,port-vila,-17.7338,168.3219,22.78000000000003,100,75,2.57,VU,1694943026
205,port mathurin,-19.6833,63.4167,23.010000000000048,75,3,9.03,MU,1694943027
206,cabo san lucas,22.8909,-109.9124,28.75,79,0,0.45,MX,1694942804
207,ta`u,-14.2336,-169.5144,26.79000000000002,84,49,9.62,AS,1694943028
208,fortuna,40.5982,-124.1573,14.640000000000043,97,100,0.0,US,1694943028
209,tsiombe,-25.3,45.4833,33.670000000000016,27,0,3.52,MG,1694943029
210,verkhnevilyuysk,63.4453,120.3167,2.330000000000041,97,100,3.59,RU,1694943030
211,haiku-pauwela,20.9219,-156.3051,25.02000000000004,80,0,4.63,US,1694943030
212,great falls,47.5002,-111.3008,18.160000000000025,45,0,4.12,US,1694942752
213,whangarei,-35.7317,174.3239,9.050000000000011,97,3,1.95,NZ,1694943031
214,altay,47.8667,88.1167,16.32000000000005,40,55,3.55,CN,1694943032
215,torrington,41.8007,-73.1212,12.400000000000034,92,2,1.81,US,1694943022
216,vanimo,-2.6741,141.3028,25.680000000000007,88,100,2.37,PG,1694943033
217,tura,25.5198,90.2201,29.390000000000043,84,30,0.21,IN,1694943033
218,chela,34.069,104.4619,18.150000000000034,70,100,1.82,CN,1694943034
219,nar'yan-mar,67.6713,53.087,8.700000000000045,62,44,2.48,RU,1694943034
220,ocean city,39.2776,-74.5746,17.220000000000027,83,1,1.73,US,1694942794
221,damghan,36.1683,54.348,28.670000000000016,20,0,2.31,IR,1694943035
222,san antonio de pale,-1.4014,5.6325,24.450000000000045,79,100,3.87,GQ,1694943036
223,talnakh,69.4865,88.3972,7.340000000000032,62,54,2.4,RU,1694943036
